Date;Symbol;Clos
2024-01-03;AEP;81.63
2024-01-04;AEP;81.64
2024-01-05;AEP;82.31
2024-01-08;AEP;82.74
2024-01-09;AEP;82.36
2024-01-10;AEP;80.81
2024-01-11;AEP;78.71
2024-01-12;AEP;79.78
2024-01-16;AEP;79.28
2024-01-17;AEP;78.06
2024-01-18;AEP;76.56
2024-01-19;AEP;76.07
2024-01-22;AEP;75.64
2024-01-23;AEP;76.47
2024-01-24;AEP;75.37
2024-01-25;AEP;76.45
2024-01-26;AEP;76.21
2024-01-29;AEP;76.74
2024-01-30;AEP;76.79
2024-01-31;AEP;76.5
2024-02-01;AEP;78.02
2024-02-02;AEP;76.98
2024-02-05;AEP;75.19
2024-02-06;AEP;75.61
2024-02-07;AEP;75.71
2024-02-08;AEP;75.2
2024-02-09;AEP;75.92
2024-02-12;AEP;76.84
2024-02-13;AEP;78.01
2024-02-14;AEP;78.03
2024-02-15;AEP;80.57
2024-02-16;AEP;80.56
2024-02-20;AEP;80.09
2024-02-21;AEP;81.76
2024-02-22;AEP;81.2
2024-02-23;AEP;81.65
2024-02-26;AEP;79.99
2024-02-27;AEP;83.25
2024-02-28;AEP;82.51
2024-02-29;AEP;84.36
2024-03-01;AEP;84.16
2024-03-04;AEP;84.12
2024-03-05;AEP;83.23
2024-03-06;AEP;83.1
2024-03-07;AEP;83.28
2024-03-08;AEP;83.03
2024-03-11;AEP;82.92
2024-03-12;AEP;82.58
2024-03-13;AEP;82.19
2024-03-14;AEP;81.06
2024-03-15;AEP;81.31
2024-03-18;AEP;81.36
2024-03-19;AEP;82.51
2024-03-20;AEP;82.05
2024-03-21;AEP;82.29
2024-03-22;AEP;82.14
2024-03-25;AEP;82.06
2024-03-26;AEP;81.68
2024-03-27;AEP;83.98
2024-03-28;AEP;85.26
2024-01-02;AES;18.96
2024-01-03;AES;18.56
